"filename", "language", "PHP", "JSON", "JavaScript", "CSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-colorpicker\css\bootstrap-colorpicker.css", "CSS", 0, 0, 0, 320, 0, 0, 0, 26, 54, 400
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-colorpicker\css\bootstrap-colorpicker.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 9, 1, 11
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-colorpicker\js\bootstrap-colorpicker.js", "JavaScript", 0, 0, 3698, 0, 0, 0, 0, 1375, 1179, 6252
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-colorpicker\js\bootstrap-colorpicker.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 9, 0, 10
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-slider\bootstrap-slider.js", "JavaScript", 0, 0, 1598, 0, 0, 0, 0, 212, 252, 2062
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-slider\bootstrap-slider.min.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 3, 0, 5
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-slider\css\bootstrap-slider.css", "CSS", 0, 0, 0, 323, 0, 0, 0, 42, 53, 418
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-slider\css\bootstrap-slider.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 41, 1, 43
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-switch\css\bootstrap2\bootstrap-switch.css", "CSS", 0, 0, 0, 494, 0, 0, 0, 15, 2, 511
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-switch\css\bootstrap2\bootstrap-switch.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 8, 1, 10
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-switch\css\bootstrap3\bootstrap-switch.css", "CSS", 0, 0, 0, 178, 0, 0, 0, 8, 2, 188
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-switch\css\bootstrap3\bootstrap-switch.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 8, 1, 10
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-switch\js\bootstrap-switch.js", "JavaScript", 0, 0, 735, 0, 0, 0, 0, 8, 42, 785
"c:\xampp\htdocs\pp\assets\plugins\bootstrap-switch\js\bootstrap-switch.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 8, 2, 11
"c:\xampp\htdocs\pp\assets\plugins\bootstrap4-duallistbox\bootstrap-duallistbox.css", "CSS", 0, 0, 0, 67, 0, 0, 0, 8, 13, 88
"c:\xampp\htdocs\pp\assets\plugins\bootstrap4-duallistbox\bootstrap-duallistbox.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\pp\assets\plugins\bootstrap4-duallistbox\jquery.bootstrap-duallistbox.js", "JavaScript", 0, 0, 783, 0, 0, 0, 0, 39, 72, 894
"c:\xampp\htdocs\pp\assets\plugins\bootstrap4-duallistbox\jquery.bootstrap-duallistbox.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 8, 1, 10
"c:\xampp\htdocs\pp\assets\plugins\bootstrap4-toggle\css\bootstrap4-toggle.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 9, 1, 11
"c:\xampp\htdocs\pp\assets\plugins\bootstrap4-toggle\js\bootstrap4-toggle.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 10, 1, 12
"c:\xampp\htdocs\pp\assets\plugins\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, 0, 4482, 0, 0, 0, 0, 1364, 1178, 7024
"c:\xampp\htdocs\pp\assets\plugins\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\pp\assets\plugins\bootstrap\js\bootstrap.js", "JavaScript", 0, 0, 3243, 0, 0, 0, 0, 314, 854, 4411
"c:\xampp\htdocs\pp\assets\plugins\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\pp\assets\plugins\bs-custom-file-input\bs-custom-file-input.js", "JavaScript", 0, 0, 130, 0, 0, 0, 0, 6, 32, 168
"c:\xampp\htdocs\pp\assets\plugins\bs-custom-file-input\bs-custom-file-input.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 6, 1, 8
"c:\xampp\htdocs\pp\assets\plugins\bs-stepper\css\bs-stepper.css", "CSS", 0, 0, 0, 161, 0, 0, 0, 6, 27, 194
"c:\xampp\htdocs\pp\assets\plugins\bs-stepper\css\bs-stepper.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"c:\xampp\htdocs\pp\assets\plugins\bs-stepper\js\bs-stepper.js", "JavaScript", 0, 0, 334, 0, 0, 0, 0, 8, 87, 429
"c:\xampp\htdocs\pp\assets\plugins\bs-stepper\js\bs-stepper.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 6, 1, 8
"c:\xampp\htdocs\pp\assets\plugins\chart.js\Chart.bundle.js", "JavaScript", 0, 0, 15021, 0, 0, 0, 0, 2615, 3120, 20756
"c:\xampp\htdocs\pp\assets\plugins\chart.js\Chart.bundle.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 6, 1, 8
"c:\xampp\htdocs\pp\assets\plugins\chart.js\Chart.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 8, 5, 48
"c:\xampp\htdocs\pp\assets\plugins\chart.js\Chart.js", "JavaScript", 0, 0, 11473, 0, 0, 0, 0, 2287, 2392, 16152
"c:\xampp\htdocs\pp\assets\plugins\chart.js\Chart.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\pp\assets\plugins\chart.js\Chart.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 6, 1, 8
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\comment\comment.js", "JavaScript", 0, 0, 183, 0, 0, 0, 0, 8, 21, 212
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\comment\continuecomment.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 11, 7, 115
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\dialog\dialog.css", "CSS", 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\dialog\dialog.js", "JavaScript", 0, 0, 131, 0, 0, 0, 0, 11, 22, 164
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\display\autorefresh.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 2, 5, 48
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\display\fullscreen.css", "CSS", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\display\fullscreen.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 2, 5, 42
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\display\panel.js", "JavaScript", 0, 0, 109, 0, 0, 0, 0, 4, 17, 130
